,T(K),F(KG),U(mV),I(A)
"data(81,-0)",81.03000000000006,-1.6999999999999986e-05,0.006165875,-0.04999632142857145
"data(81,-1)",81.0109090909092,0.9996989999999998,0.0056503454545454536,-0.049996490909090925
"data(81,-2)",81.02633333333337,2.0089040000000007,0.005787049999999998,-0.04999635000000003
"data(81,-3)",81.02303571428574,3.0000070000000005,0.005863660714285715,-0.04999669642857145
"data(81,-4)",81.02392857142861,4.020290999999994,0.005917749999999998,-0.049998839285714296
"data(81,-5)",81.0203389830509,5.001410999999998,0.006458271186440678,-0.049998389830508486
"data(81,0)",81.03039215686283,-1.699999999999999e-05,0.005954254901960784,0.04999682352941177
"data(81,1)",81.02021739130434,0.9996989999999998,0.005668217391304347,0.04999671739130434
"data(81,2)",81.03029850746269,2.0089040000000007,0.005823238805970149,0.04999783582089555
"data(81,3)",81.01681818181828,3.0000070000000023,0.006124272727272727,0.049997636363636404
"data(81,4)",81.03105263157896,4.02029099999999,0.006318254385964915,0.049998210526315805
"data(81,5)",81.02120689655176,5.001410999999998,0.006588793103448276,0.04999775862068967
"data(85,-0)",84.99724637681156,-4.0999999999999946e-05,0.006818797101449277,-0.04999604347826092
"data(85,-1)",84.99897959183673,1.0000039999999992,0.006685081632653061,-0.049996000000000006
"data(85,-2)",85.0125000000001,2.000127000000002,0.006668426470588235,-0.04999600000000005
"data(85,-3)",84.9972881355932,3.0000279999999964,0.006240661016949154,-0.049996000000000033
"data(85,-4)",84.99951219512192,4.000010000000002,0.006333731707317076,-0.04999599999999998
"data(85,-5)",85.00314814814817,4.9999689999999966,0.006431592592592593,-0.04999600000000002
"data(85,0)",84.99746268656715,-4.099999999999995e-05,0.006869179104477611,0.049997746268656745
"data(85,1)",85.00210526315792,1.0000039999999988,0.006696543859649127,0.049996052631578976
"data(85,2)",85.00491803278693,2.0001270000000027,0.006480311475409836,0.0499985573770492
"data(85,3)",85.0092307692308,3.0000279999999977,0.006437076923076922,0.04999600000000001
"data(85,4)",84.98033898305077,4.000010000000002,0.006445050847457625,0.049996000000000033
"data(85,5)",84.98563636363632,4.9999689999999966,0.006468163636363636,0.04999600000000002
"data(87,-0)",87.00793650793659,-6.600000000000006e-05,0.0065555873015873,-0.04999600000000004
"data(87,-1)",87.02178082191787,1.0000280000000001,0.00604286301369863,-0.049996000000000054
"data(87,-2)",87.05037735849064,2.0000160000000013,0.006064849056603774,-0.04999600000000002
"data(87,-3)",87.14370370370372,3.0000440000000017,0.005907111111111111,-0.04999600000000002
"data(87,-4)",86.9939655172413,3.9999620000000045,0.006205086206896549,-0.04999600000000003
"data(87,-5)",87.05611111111118,5.000045,0.006384444444444446,-0.04999600000000002
"data(87,0)",86.98365591397851,-6.600000000000007e-05,0.006041688172043009,0.049996000000000075
"data(87,1)",87.00328125000001,1.0000280000000001,0.0062948906250000014,0.04999600000000004
"data(87,2)",87.05540983606565,2.0000160000000013,0.006196639344262294,0.049996000000000033
"data(87,3)",87.08942307692308,3.0000440000000017,0.0060182692307692316,0.04999600000000001
"data(87,4)",87.01207547169822,3.9999620000000036,0.006544660377358489,0.04999600000000002
"data(87,5)",87.03500000000012,5.000045,0.006899132352941176,0.04999600000000005
"data(89,-0)",89.00115942028985,-4.0000000000000064e-05,0.005067130434782609,-0.04999600000000005
"data(89,-1)",89.00578947368426,0.9999249999999992,0.005101035087719297,-0.04999600000000003
"data(89,-2)",88.97603773584905,1.9999399999999987,0.005247264150943394,-0.04999600000000002
"data(89,-3)",89.02666666666673,3.0002340000000034,0.005730666666666665,-0.04999600000000001
"data(89,-4)",89.00773333333336,3.999955000000001,0.005657133333333333,-0.049996000000000054
"data(89,-5)",88.86034482758615,5.000063000000005,0.005895844827586208,-0.04999600000000003
"data(89,0)",88.92381818181818,-4.000000000000006e-05,0.005265181818181818,0.04999600000000002
"data(89,1)",89.0123456790123,0.9999250000000001,0.005300950617283948,0.04999600000000006
"data(89,2)",88.91545454545454,1.9999399999999985,0.005648399999999998,0.04999600000000002
"data(89,3)",89.044,3.000234000000004,0.005788116666666668,0.049996000000000033
"data(89,4)",88.99052631578942,3.9999550000000004,0.005941649122807017,0.04999600000000003
"data(89,5)",88.94480769230768,5.000063000000005,0.006095596153846153,0.04999600000000001
"data(90,-0)",89.86285714285717,5.000000000000009e-06,0.006566452380952384,-0.04999600000000007
"data(90,-1)",90.03527777777782,0.9999719999999999,0.006400444444444446,-0.04999599999999998
"data(90,-2)",90.01694656488552,1.9999630000000024,0.0069400076335877844,-0.049996000000000096
"data(90,-3)",89.98283582089553,2.999973000000003,0.006793671641791045,-0.04999600000000005
"data(90,-4)",90.16507936507931,4.000051000000006,0.0065804444444444435,-0.04999600000000004
"data(90,-5)",89.9534146341463,4.9999510000000065,0.006312548780487805,-0.04999600000000007
"data(90,0)",90.01944954128447,5.00000000000001e-06,0.006878431192660553,0.04999600000000009
"data(90,1)",90.0064367816092,0.9999719999999997,0.006811873563218391,0.04999600000000007
"data(90,2)",89.93424657534241,1.9999629999999988,0.006915205479452054,0.049996000000000054
