i, p ,p_unit
50,0.0177,0.0177
49.2,0.0171,0.0171
48.2,0.0166,0.0166
47.4,0.0163,0.0163
46.1,0.0156,0.0156
45.2,0.0148,0.0148
44.2,0.0143,0.0143
43.2,0.0139,0.0139
42.2,0.0139,0.0139
41.3,0.0132,0.0132
40.3,0.0129,0.0129
39.1,0.0124,0.0124
38.3,0.0119,0.0119
37.3,1.14E-02,0.01139
36.1,10.861,0.010861
35.1,10.449,0.010449
34.2,10.084,0.010084
33.2,9.607,0.009607
32.2,9.011,0.009011
31.2,8.507,0.008507
30,8.046,0.008046
29.3,7.66,0.00766
28.1,6.925,0.006925
27.1,6.565,0.006565
26.1,6.088,0.006088
24.9,5.513,0.005513
24.1,5.1,0.0051
23.2,4.557,0.004557
22.1,4.05,0.00405
21,3.547,0.003547
20.2,3.107,0.003107
19,2.574,0.002574
18,2.205,0.002205
17.1,1.664,0.001664
16.1,1.135,0.001135
15.1,0.784,0.000784
14.1,0.331,0.000331
13.1,19.78,0.00001978
11.9,15.18,0.00001518
11,12.8,0.0000128
10,10.92,0.00001092
9,9.68,0.00000968
8,8.7,0.0000087
7,7.86,0.00000786
6.1,7.22,0.00000722
5.1,6.63,0.00000663
4,5.82,0.00000582
2.9,5.16,0.00000516
1.9,4.67,0.00000467
1,4.39,0.00000439
0,4.18,0.00000418
