Untitled,Untitled 1
-0.000958,0.000671
-0.001284,0.000671
-0.001284,0.000997
-0.001609,0.000997
-0.001609,0.000671
-0.002261,0.000997
-0.000958,0.000671
-0.001935,0.000997
-0.001935,0.000997
-0.001284,0.000997
-0.001284,0.000671
-0.001284,0.000671
-0.000958,0.000345
-0.002261,0.000671
-0.001935,0.001323
-0.001284,0.000671
-0.002261,0.001323
-0.001284,0.001323
-0.000306,0.000671
-0.000958,0.000997
-0.002261,0.001649
-0.000958,0.000997
-0.001609,0.000997
-0.001609,0.000671
-0.001609,0.000997
-0.000632,0.000997
-0.001284,0.000997
-0.001609,0.000997
-0.001284,0.000671
-0.001284,0.000997
-0.001935,0.000997
-0.002261,0.000345
-0.001284,0.000671
-0.001935,0.000345
-0.001609,0.000345
-0.001284,0.000997
-0.002261,0.000997
0.00002,0.000671
0.000345,0.000997
0.000671,0.000345
0.001649,0.001649
0.001323,0.000345
0.002626,0.001323
0.003278,0.001323
0.003604,0.000671
0.003278,0.000997
0.003604,0.001649
0.004255,0.001649
0.004581,0.000997
0.004255,0.000997
0.005233,0.001649
0.005559,0.000345
0.005885,0.000671
0.006536,0.000997
0.007514,0.001323
0.007188,0.000671
0.007188,0.000671
0.008491,0.001323
0.009143,0.001323
0.008491,0.000997
0.009143,0.000345
0.01012,0.001323
0.009469,0.000671
0.010772,0.001649
0.011749,0.000671
0.012401,0.001323
0.015008,0.001323
0.014682,0.001323
0.015333,0.000671
0.015985,0.000997
0.016963,0.000997
0.019895,0.001323
0.019895,0.000997
0.020873,0.000671
0.023479,0.000671
0.024131,0.000671
0.025108,0.000997
0.025434,0.001649
0.027063,0.000345
0.027389,0.001323
0.028692,0.000671
0.029344,0.000997
0.029018,0.00002
0.029344,-0.000632
0.031299,0.000345
0.031625,-0.000958
0.033254,0.000345
0.034883,0.000997
0.034557,0.000345
0.035535,0.000345
0.037164,0.00002
0.03749,-0.000632
0.036838,0.000671
0.037815,-0.000632
0.038793,0.000671
0.040096,0.00002
0.041074,-0.000306
0.043354,-0.000632
0.044658,-0.000306
0.046287,0.00002
0.04759,-0.000306
0.048242,0.000671
0.050197,-0.000306
0.050848,-0.000632
0.050197,0.00002
0.052152,-0.000306
0.052152,0.00002
0.053129,0.000997
0.054107,0.000671
0.054433,0.000997
0.055084,0.000345
0.055736,0.00002
0.056062,0.000671
0.058994,0.000997
0.062252,0.001323
0.063556,0.000345
0.065185,0.000997
0.066488,0.000671
0.067466,0.000997
0.068443,0.00002
0.069746,0.000345
0.071701,0.000997
0.071375,0.000997
0.073982,0.001323
0.074308,0.000997
0.07496,0.000997
0.075285,0.000671
0.076915,0.000345
0.07724,0.00002
0.077892,0.000345
0.079521,0.00002
0.08115,0.000345
0.082128,0.000997
0.083757,0.000671
0.085386,0.000671
0.086689,0.000997
0.087341,0.000997
0.088318,0.000997
0.08897,0.001323
0.090273,0.000671
0.089948,0.001323
0.090925,0.000671
0.091251,0.000671
0.092554,0.0023
0.09288,0.0023
0.093532,0.001649
0.094835,0.001649
0.095161,0.001323
0.095161,0.001649
0.09679,0.001649
0.096464,0.0023
0.097767,0.002952
0.098093,0.003604
0.098745,0.002626
0.099071,0.003604
0.099396,0.003278
0.099396,0.004255
0.101026,0.004581
0.102329,0.004255
0.10461,0.005559
0.106239,0.005885
0.108194,0.00621
0.110475,0.007514
0.111778,0.008491
0.112755,0.008817
0.115362,0.009469
0.115688,0.009143
0.116991,0.009143
0.117317,0.01012
0.117643,0.010446
0.118946,0.010446
0.119923,0.010772
0.120249,0.011098
0.120901,0.011749
0.121227,0.011749
0.121878,0.010772
0.121878,0.011749
0.121553,0.012075
0.121878,0.011098
0.124485,0.011424
0.125137,0.012401
0.127417,0.011749
0.128069,0.013053
0.129698,0.013053
0.13035,0.013053
0.131653,0.013053
0.131979,0.01403
0.133934,0.014356
0.135237,0.014356
0.135563,0.013053
0.136866,0.01403
0.136866,0.01403
0.137844,0.014682
0.13817,0.015333
